# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Dec 20 15:02:37 2024
#
# User preference: *
#
# COLUMN hip_name:       HIP ID
# COLUMN hip_compname:   HIP Component ID
# COLUMN hd_name:        HD ID
# COLUMN hr_name:        HR ID
# COLUMN gj_name:        GJ ID
# COLUMN constellation:  Constellation ID
# COLUMN hostname:       Host Name
# COLUMN sy_dist:        Distance [pc]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_plx:         Parallax [mas]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_bvmag:       B-V (Johnson) Color [mag]
# COLUMN sy_rcmag:       R (Cousins) Magnitude
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_lum:         Stellar Luminosity [log10(Solar)]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_diam:        Stellar Angular Diameter [mas]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_log_rhk:     Stellar Ca II Chromospheric Activity Index [log R HK]
# COLUMN st_eei_orbsep:  Earth Equivalent Insolation Distance [au]
# COLUMN st_eei_angsep:  Earth Equivalent Insolation Distance [mas]
# COLUMN st_etwin_bratio: Earth Equivalent Planet-Star Ratio
# COLUMN st_etwin_rcmag: Earth Equivalent R (Cousins) Magnitude
# COLUMN st_eei_orbper:  Orbital Period at EEID [days]
# COLUMN st_etwin_rvamp: Earth Equivalent Radial Velocity Amplitude [cm/s]
# COLUMN st_etwin_astamp: Earth Equivalent Astrometric Amplitude [uas]
#
loc_rowid	hip_name	hip_compname	hd_name	hr_name	gj_name	constellation	hostname	sy_dist	ra	dec	sy_plx	sy_vmag	sy_bvmag	sy_rcmag	st_spectype	st_teff	st_lum	st_rad	st_diam	st_mass	st_met	st_logg	st_log_rhk	st_eei_orbsep	st_eei_angsep	st_etwin_bratio	st_etwin_rcmag	st_eei_orbper	st_etwin_rvamp	st_etwin_astamp
13	HIP 75181		HD 136352	HR 5699	GJ 582	nu2 Lup	Nu2 Lupi	14.7391	230.4506246	-48.3176305	67.8467	5.655	0.639	5.285	G2.5V Hdel1	5685	0.0124	1.046	0.660	1.02	-0.340	4.370	-4.932	1.014	68.82	1.12e-10	30.16	369.5	8.85	0.203
14	HIP 77760		HD 142373	HR 5914	GJ 602	chi Her	Chi Herculis	15.8975	238.1689210	42.4515175	62.9028	4.608	0.559	4.200	G0V Fe+0.4	5820	0.4964	1.742	1.019	1.08	-0.470	4.060	-5.042	1.771	111.39	3.69e-11	30.28	828.3	6.51	0.310
15	HIP 78072		HD 142860	HR 5933	GJ 603	gam Ser	Gamma Serpentis	11.2537	239.1132612	15.6616168	88.8600	3.843	0.478	3.504	F6V	6285	0.4827	1.470	1.215	1.25	-0.180	4.140	-4.820	1.743	154.91	3.81e-11	29.55	752.0	6.10	0.372
16	HIP 80337		HD 147513	HR 6094	GJ 9559		HD 147513	12.8923	246.0053797	-39.1929805	77.5655	5.370	0.625	5.010	G1V CH-0.4(k)	5868	0.0003	0.968	0.698	1.07	0.050	4.530	-4.450	1.000	77.60	1.16e-10	29.85	353.3	8.70	0.218
17	HIP 84405	B	HD 155885	HR 6401	GJ 663B	36 Oph B	Guniibuu B	5.9478	258.8374326	-26.6028260	168.1303	5.110	0.860	4.586	K1V	5144	-0.4788	0.725	1.134	0.85	-0.220	4.590	-4.559	0.576	96.88	3.49e-10	28.23	173.3	12.86	0.342
18	HIP 84720	A	HD 156274 A	HR 6416	GJ 666A	41 Ara A	41 Arae A	8.7911	259.7659898	-46.6362334	113.7513	5.472	0.777	5.008	G9V	5235	-0.3452	0.817	0.864	0.90	-0.350	4.560	-4.941	0.672	76.45	2.56e-10	28.99	212.1	11.57	0.255
19	HIP 84893	A	HD 156897 A	HR 6445 A	GJ 670A	xi Oph A	Aggia	17.5187	260.2515605	-21.1129364	57.0820	4.389	0.384	4.160	F2V	6756	0.6161	1.484	0.788	1.44	-0.250	4.254		2.033	116.03	2.80e-11	30.54	882.1	5.26	0.242
20	HIP 86796		HD 160691	HR 6585	GJ 691	mu Ara	Cervantes	15.6042	266.0362631	-51.8340532	64.0853	5.124	0.700	4.735	G3V	5761	0.2785	1.383	0.824	1.00	0.290	4.250	-5.040	1.378	88.31	6.09e-11	30.27	590.8	7.67	0.265
21	HIP 88694	A	HD 165185	HR 6748	GJ 702.1		HD 165185	17.1146	271.5988313	-36.0197863	58.4296	5.949	0.618	5.600	G0V	5892	0.0186	0.980	0.533	1.08	-0.050	4.380	-4.406	1.022	59.69	1.11e-10	30.49	362.9	8.57	0.166
22	HIP 88972		HD 166620	HR 6806	GJ 706		HD 166620	11.0959	272.4059009	38.4577772	90.1234	6.377	0.876	5.890	K2V	5028	-0.4401	0.794	0.666	0.78	-0.180	4.500	-4.955	0.603	54.30	3.19e-10	29.63	193.4	13.13	0.209
23	HIP 95447		HD 182572	HR 7373	GJ 759	31 Aql	31 Aquilae	14.9220	291.2424999	11.9444135	67.0153	5.169	0.761	4.660	G7IV-V	5593	0.2330	1.393	0.868	0.95	0.380	4.190	-5.099	1.308	87.63	6.77e-11	30.08	560.4	8.07	0.277
24	HIP 97295	A	HD 187013	HR 7534 A	GJ 9670A	17 Cyg A	17 Cygni A	20.9857	296.6066669	33.7275982	47.6516	5.005	0.476	4.697	F5.5IV-V	6455	0.5485	1.503	0.666	1.29	0.030	4.260	-4.922	1.880	89.61	3.27e-11	30.91	829.3	5.78	0.209
25	HIP 100017		HD 193664	HR 7783	GJ 788		HD 193664	17.4813	304.3805338	66.8536890	57.2041	5.922	0.602	5.580	G0V	5930	0.0458	0.999	0.531	1.08	-0.100	4.480	-4.927	1.054	60.30	1.04e-10	30.54	380.4	8.43	0.168
26	HIP 103389		HD 199260	HR 8013	GJ 811		HD 199260	21.1021	314.1972153	-26.2963779	47.3886	5.709	0.501	5.392	F6V	6270	0.2889	1.182	0.521	1.20	-0.010	4.350	-4.490	1.395	66.09	5.95e-11	30.96	549.1	6.96	0.165
27	HIP 104217		HD 201092	HR 8086	GJ 820B	61 Cyg B	61 Cygni B	3.4964	316.7302660	38.7420440	286.0054	6.043	1.309	5.197	K7V	4107	-1.1091	0.551	1.465	0.63	-0.210	4.470	-4.891	0.279	79.77	1.49e-09	27.27	67.8	21.47	0.380
28	HIP 108870		HD 209100	HR 8387	GJ 845A	eps Ind	Epsilon Indi	3.6384	330.8402234	-56.7859786	274.8431	4.674	1.060	4.065	K4V(k)	4641	-0.6540	0.728	1.862	0.72	-0.130	4.290	-4.559	0.471	129.45	5.22e-10	27.27	139.1	15.46	0.540
29	HIP 110649	A	HD 212330 A	HR 8531 A	GJ 857A		HD 212330 A	20.3398	336.2348695	-57.7974559	49.1648	5.318	0.665	4.937	G2IV-V	5660	0.4356	1.717	0.785	1.02	-0.030	4.130	-5.070	1.651	81.18	4.24e-11	30.87	767.3	6.94	0.239
30	HIP 111449	A	HD 213845 A	HR 8592 A	GJ 9789A	ups Aqr A	Upsilon Aquarii A	23.0205	338.6734824	-20.7082158	43.4396	5.210	0.442	4.930	F5V	6605	0.5383	1.419	0.573	1.35	0.030	4.274	-4.512	1.859	80.73	3.35e-11	31.12	796.5	5.68	0.180
31	HIP 950		HD 739	HR 35	GJ 3013	tet Scl	Theta Sculptoris	21.7191	2.9334212	-35.1331147	46.0425	5.241	0.459	4.951	F5V	6495	0.4814	1.375	0.589	1.33	-0.110	4.300	-4.715	1.741	80.14	3.82e-11	31.00	727.3	5.92	0.181
32	HIP 3093	A	HD 3651 A	HR 166 A	GJ 27A	54 Psc A	54 Piscium A	11.1081	9.8408558	21.2504758	90.0248	5.863	0.851	5.420	K0.5V	5203	-0.2741	0.898	0.752	0.86	0.140	4.470	-4.991	0.729	65.66	2.18e-10	29.58	245.3	11.36	0.229
33	HIP 3909		HD 4813	HR 235	GJ 37	19 Cet	19 Ceti	15.9230	12.5316207	-10.6443289	62.8022	5.176	0.514	4.850	F7V	6208	0.2506	1.153	0.674	1.21	-0.120	4.390	-4.865	1.334	83.80	6.50e-11	30.32	511.8	7.08	0.208
34	HIP 7751	A	HD 10360	HR 486	GJ 66B	p Eri A	p Eridani A	8.1894	24.9492196	-56.1933179	122.1088	5.764	0.858	5.262	K2V	5025	-0.4617	0.775	0.881	0.78	-0.240	4.600	-4.753	0.588	71.76	3.35e-10	28.95	186.3	13.29	0.276
35	HIP 7981		HD 10476	HR 493	GJ 68	107 Psc	107 Piscium	7.6439	25.6240105	20.2685127	130.8234	5.241	0.836	4.780	K1V	5204	-0.3434	0.828	1.008	0.85	-0.040	4.490	-4.912	0.673	88.10	2.55e-10	28.76	218.9	11.90	0.311
36	HIP 10798		HD 14412	HR 683	GJ 95		HD 14412	12.8347	34.7437699	-25.9456872	77.9140	6.336	0.724	5.970	G8V	5401	-0.3509	0.762	0.553	0.94	-0.490	4.590	-4.850	0.668	52.02	2.60e-10	29.93	205.5	11.36	0.166
37	HIP 12777	A	HD 16895 A	HR 799	GJ 107A	tet Per A	Theta Persei A	11.1501	41.0499442	49.2284485	89.6850	4.100	0.514	3.795	F7V	6263	0.3515	1.273	1.062	1.21	0.010	4.390	-4.970	1.499	134.43	5.15e-11	29.52	609.3	6.68	0.334
38	HIP 14879	A	HD 20010 A	HR 963 A	GJ 127A	alf For	Dalim	13.9990	48.0188742	-28.9876220	71.4337	3.800	0.543	3.540	F6V	6195	0.6284	1.790	1.189	1.25	-0.220	3.950	-4.833	2.062	147.27	2.72e-11	29.95	967.0	5.61	0.354
39	HIP 15330		HD 20766	HR 1006	GJ 136	zet1 Ret	Zeta1 Reticuli	12.0447	49.4423477	-62.5753201	83.0240	5.513	0.641	5.160	G2IV	5710	-0.1000	0.911	0.703	1.01	-0.230	4.500	-4.646	0.891	74.00	1.46e-10	29.75	305.8	9.49	0.220
40	HIP 15510		HD 20794	HR 1008	GJ 139	82 Eri	82 Eridani	6.0414	49.9818788	-43.0697820	165.5242	4.258	0.708	3.850	G6V	5432	-0.1842	0.913	1.406	0.97	-0.390	4.460	-4.998	0.809	133.89	1.77e-10	28.23	269.8	10.16	0.415
41	HIP 17651		HD 23754	HR 1173	GJ 155	27 Eri	27 Eridani	17.7847	56.7120305	-23.2497228	56.2281	4.210	0.428	3.970	F5IV-V	6685	0.7049	1.678	0.878	1.33	0.080	4.141	-4.855	2.251	126.59	2.28e-11	30.57	1069.8	5.20	0.286
42	HIP 19849	A	HD 26965 A	HR 1325 A	GJ 166A	40 Eri A	Keid	5.0098	63.8179984	-7.6528697	199.6080	4.415	0.820	3.960	K0.5V	5133	-0.3875	0.809	1.503	0.86	-0.290	4.520	-4.872	0.640	127.77	2.82e-10	27.83	201.7	12.13	0.446
43	HIP 22263		HD 30495	HR 1532	GJ 177	58 Eri	58 Eridani	13.2400	71.9012154	-16.9344557	75.5289	5.489	0.632	5.115	G1.5V(n)	5833	-0.0149	0.962	0.676	1.04	0.000	4.490	-4.511	0.983	74.24	1.20e-10	29.92	349.1	8.90	0.214
44	HIP 26394		HD 39091	HR 2022	GJ 9189	pi Men	Pi Mensae	18.2874	84.2911952	-80.4691207	54.6825	5.666	0.600	5.310	G0V	5982	0.1856	1.153	0.586	1.08	0.090	4.390	-4.900	1.238	67.71	7.55e-11	30.62	484.2	7.78	0.188
45	HIP 27072	A	HD 38393	HR 1983	GJ 216A	gam Lep A	Gamma Leporis A	8.9050	86.1157942	-22.4483855	112.2960	3.596	0.481	3.295	F6.5V	6313	0.3700	1.280	1.337	1.23	-0.080	4.350	-4.774	1.531	171.94	4.94e-11	29.06	623.9	6.56	0.420
46	HIP 32480		HD 48682	HR 2483	GJ 245	56 Aur	56 Aurigae	16.6106	101.6847372	43.5774246	60.2024	5.252	0.575	4.930	F9V	6066	0.2617	1.224	0.685	1.14	0.110	4.380	-4.930	1.352	81.37	6.33e-11	30.43	537.5	7.25	0.214
47	HIP 32984	A	HD 50281		GJ 250A		HD 50281	8.7447	103.0752106	-5.1737127	114.3547	6.562	1.056	5.975	K3.5V	4767	-0.6583	0.687	0.731	0.79	0.020	4.540	-4.554	0.469	53.59	5.27e-10	29.17	131.8	14.79	0.204
48	HIP 34065		HD 53705	HR 2667	GJ 9223A		HD 53705	17.0593	105.9888134	-43.6080350	58.6192	5.560	0.624	5.181	G1.5V	5790	0.1731	1.213	0.661	1.04	-0.220	4.330	-4.930	1.221	71.55	7.77e-11	30.46	483.0	7.99	0.207
49	HIP 35136		HD 55575	HR 2721	GJ 1095		HD 55575	16.8518	108.9589132	47.2399634	59.3408	5.559	0.576	5.190	F9V	5902	0.1652	1.157	0.638	1.14	-0.320	4.320	-4.950	1.209	71.77	7.91e-11	30.44	455.0	7.66	0.189
50	HIP 38908	A	HD 65907 A	HR 3138 A	GJ 294A		HD 65907 A	16.1718	119.4454762	-60.3030719	61.8360	5.592	0.573	5.280	F9.5V	5997	0.1106	1.052	0.605	1.11	-0.310	4.520	-4.790	1.136	70.23	8.97e-11	30.40	419.6	8.02	0.190
51	HIP 5896	A	HD 7788 A	HR 377 A	GJ 9049A	kap Tuc A	Kappa Tucanae A	23.2606	18.9420379	-68.8759448	42.9912	4.912	0.401	4.662	F5V	6436	0.5911	1.588	0.635	1.35	0.030	4.021	-4.272	1.975	84.90	2.97e-11	30.98	872.4	5.51	0.189
52	HIP 33277		HD 50692	HR 2569	GJ 252	37 Gem	37 Geminorum	17.4047	103.8277765	25.3756954	57.4559	5.763	0.573	5.400	G0V	5924	0.1117	1.080	0.577	1.08	-0.120	4.440	-4.960	1.137	65.34	8.95e-11	30.52	426.2	8.12	0.182
53	HIP 71683		HD 128620	HR 5459	GJ 559A	alf Cen A	Rigil Kentaurus	1.3319	219.9020583	-60.8339927	750.8100	0.002	0.653	-0.352	G2V	5776	0.1821	1.231	8.600	1.11	0.200	4.300	-5.084	1.233	925.96	7.61e-11	24.94	475.8	7.71	2.516
54	HIP 78459		HD 143761	HR 5968	GJ 9537	rho CrB	Rho Coronae Borealis	17.5108	240.2610854	33.3035110	57.1076	5.410	0.601	5.010	G0IV	5812	0.2582	1.328	0.705	0.97	-0.220	4.250	-5.039	1.346	76.87	6.39e-11	30.50	579.2	7.88	0.238
55	HIP 97675	A	HD 187691 A	HR 7560	GJ 9671 A	omi Aql A	Omicron Aquilae A	19.4881	297.7568487	10.4157201	51.3133	5.122	0.551	4.783	F8V	6134	0.4525	1.491	0.711	1.25	0.120	4.220	-5.100	1.684	86.40	4.08e-11	30.76	713.7	6.20	0.208
56	HIP 105090		HD 202560		GJ 825	AX Mic	Lacaille 8760	3.9696	319.3136211	-38.8673622	251.9124	6.690	1.397	5.770	M0V	3874	-1.0809	0.640	1.498	0.59	-0.010	4.780	-4.605	0.288	72.58	1.39e-09	27.91	73.9	21.92	0.373
57	HIP 3765		HD 4628	HR 222	GJ 33		HD 4628	7.4352	12.0957332	5.2806137	134.4948	5.729	0.890	5.210	K2V	5007	-0.5226	0.728	0.911	0.78	-0.260	4.620	-4.852	0.548	73.69	3.85e-10	28.75	167.7	13.77	0.284
58	HIP 22449		HD 30652	HR 1543	GJ 178	pi3 Ori	Tabit	8.0684	72.4600454	6.9612745	123.9400	3.184	0.484	2.920	F6V	6443	0.4330	1.321	1.523	1.25	0.030	4.300	-4.650	1.646	204.03	4.27e-11	28.84	690.0	6.27	0.490
59	HIP 29271	A	HD 43834 A	HR 2261 A	GJ 231A	alf Men A	Alpha Mensae A	10.2129	92.5603024	-74.7530440	97.9158	5.076	0.720	4.675	G7V	5594	-0.0627	0.990	0.902	0.96	0.100	4.460	-4.940	0.930	91.10	1.34e-10	29.36	334.5	9.52	0.285
60	HIP 77358	A	HD 140901 A	HR 5864 A	GJ 599A		HD 140901 A	15.2465	236.8712542	-37.9163119	65.5889	6.012	0.718	5.612	G7IV-V	5602	-0.0878	0.959	0.585	0.96	0.100	4.470	-4.783	0.904	59.28	1.42e-10	30.23	320.3	9.66	0.185
61	HIP 107649		HD 207129	HR 8323	GJ 838		HD 207129	15.5589	327.0656298	-47.3036161	64.2717	5.575	0.601	5.235	G0VmF2	5935	0.0817	1.039	0.621	1.08	-0.030	4.410	-4.800	1.099	70.61	9.59e-11	30.28	404.7	8.26	0.196
62	HIP 50954		HD 90589	HR 4102	GJ 391		HD 90589	16.2232	156.0987749	-74.0316121	61.6400	3.990	0.361	3.760	F3V	6905	0.7128	1.587	0.910	1.43	0.050	4.228	-4.685	2.272	140.04	2.24e-11	30.38	1046.0	4.99	0.294
63	HIP 64924		HD 115617	HR 5019	GJ 506	61 Vir	61 Virginis	8.5344	199.6013083	-18.3111938	117.1726	4.735	0.709	4.330	G6.5V	5552	-0.0833	0.982	1.070	0.97	-0.010	4.410	-5.001	0.909	106.46	1.40e-10	28.96	322.0	9.61	0.331
64	HIP 77257		HD 141004	HR 5868	GJ 598	lam Ser	Lambda Serpentis	11.9159	236.6108925	7.3530687	83.9214	4.422	0.603	4.075	G0-V(k)	5898	0.3018	1.356	1.058	1.09	-0.010	4.180	-5.004	1.415	118.79	5.78e-11	29.67	589.2	7.25	0.327
65	HIP 88601	B	HD 165341 B	HR 6752 B	GJ 702B	70 Oph B	70 Ophiuchi B	5.1225	271.3644289	2.4989470	195.2166	6.061	1.150	5.275	K4V	4475	-0.7843	0.674	1.224	0.78	0.030	4.640	-4.710	0.405	79.14	7.04e-10	28.16	106.7	16.01	0.305
66	HIP 99825		HD 192310	HR 7722	GJ 785		HD 192310	8.8116	303.8224641	-27.0329754	113.4872	5.730	0.878	5.230	K2+V	5087	-0.3936	0.818	0.864	0.77	0.030	4.480	-5.011	0.636	72.14	2.86e-10	29.09	210.9	12.86	0.281
67	HIP 544		HD 166	HR 8	GJ 5	V439 And	V439 Andromedae	13.7662	1.6532667	29.0215035	72.6419	6.093	0.752	5.630	G8V	5491	-0.1889	0.889	0.601	0.94	0.110	4.550	-4.384	0.805	58.44	1.79e-10	30.00	271.9	10.35	0.187
68	HIP 7751	B	HD 10361	HR 487	GJ 66A	p Eri B	p Eridani B	8.1965	24.9481863	-56.1964481	122.0035	5.876	0.899	5.377	K2V	5111	-0.5173	0.703	0.798	0.77	-0.190	4.630	-4.881	0.551	67.25	3.81e-10	28.93	170.4	13.81	0.262
69	HIP 15371		HD 20807	HR 1010	GJ 138	zet2 Ret	Zeta2 Reticuli	12.0394	49.5534120	-62.5063624	83.0606	5.232	0.600	4.885	G1V	5847	0.0073	0.983	0.759	1.07	-0.230	4.460	-4.787	1.008	83.77	1.14e-10	29.74	357.6	8.66	0.235
70	HIP 36439		HD 58855	HR 2849	GJ 9234	22 Lyn	22 Lyncis	20.4021	112.4831549	49.6724594	49.0145	5.350	0.470	5.047	F6V	6349	0.3882	1.292	0.589	1.16	-0.280	4.290	-4.879	1.564	76.64	4.73e-11	30.86	663.1	6.68	0.198
71	HIP 51502	A	HD 90089 A	HR 4084 A	GJ 9330A		HD 90089 A	22.7302	157.7696164	82.5586517	43.9944	5.250	0.370	4.989	F4VkF2mF2	6758	0.5124	1.316	0.538	1.39	-0.160	4.389	-4.550	1.804	79.36	3.56e-11	31.11	750.5	5.68	0.171
72	HIP 56997		HD 101501	HR 4496	GJ 434	61 UMa	61 Ursae Majoris	9.5762	175.2625678	34.2016338	104.4252	5.308	0.723	4.910	G8V	5491	-0.2154	0.862	0.837	0.94	-0.050	4.540	-4.546	0.780	81.49	1.90e-10	29.21	259.7	10.51	0.260
73	HIP 59199	A	HD 105452 A	HR 4623 A	GJ 9389A	alf Crv A	Alchiba	14.9365	182.1034022	-24.7288751	66.9500	4.025	0.332	3.804	F1V	6990	0.6487	1.439	0.896	1.50	-0.130	4.192	-4.214	2.110	141.28	2.60e-11	30.27	914.2	5.06	0.283
74	HIP 84478		HD 156026		GJ 664	36 Oph C	Guniibuu C	5.9537	259.0556767	-26.5461491	167.9617	6.295	1.144	5.618	K5V(k)	4476	-0.8027	0.660	1.031	0.68	-0.210	4.570	-4.662	0.397	66.66	7.35e-10	28.45	110.7	17.32	0.294
75	HIP 85235		HD 158633	HR 6518	GJ 675		HD 158633	12.7919	261.2504073	67.3067080	78.1747	6.443	0.759	5.950	K0V	5302	-0.3843	0.761	0.554	0.87	-0.460	4.580	-4.959	0.642	50.22	2.80e-10	29.83	201.6	12.04	0.173
76	HIP 88601	A	HD 165341 A	HR 6752 A	GJ 702A	70 Oph A	70 Ophiuchi A	5.1133	271.3635350	2.5001463	195.5674	4.220	0.863	3.748	K0-V	5298	-0.2743	0.865	1.574	0.88	0.060	4.520	-4.548	0.729	142.61	2.18e-10	27.90	242.5	11.23	0.487
77	HIP 102485		HD 197692	HR 7936	GJ 805	psi Cap	Psi Capricorni	14.6334	311.5238859	-25.2708975	68.3370	4.137	0.426	3.880	F5V	6638	0.5478	1.420	0.903	1.33	0.040	4.238	-4.040	1.879	128.39	3.28e-11	30.09	815.6	5.69	0.290
78	HIP 109422		HD 210302	HR 8447	GJ 9770	tau PsA	Tau Piscis Austrini	18.4579	332.5365841	-32.5484084	54.1773	4.940	0.488	4.630	F6V	6364	0.4651	1.405	0.708	1.25	0.100	4.200	-4.911	1.708	92.54	3.97e-11	30.63	729.4	6.16	0.222
79	HIP 25110		HD 33564	HR 1686	GJ 196		HD 33564	20.7858	80.6397108	79.2311507	48.1098	5.080	0.506	4.790	F7V	6354	0.5171	1.496	0.670	1.21	0.120	4.200	-4.979	1.814	87.25	3.52e-11	30.92	811.0	6.08	0.217
80	HIP 27072	B	HD 38392	HR 1982	GJ 216B	gam Lep B	Gamma Leporis B	8.8916	86.1105697	-22.4218374	112.4661	6.142	0.954	5.640	K2.5V	4950	-0.5534	0.719	0.752	0.81	-0.140	4.330	-4.500	0.529	59.47	4.14e-10	29.10	156.1	13.75	0.221
